,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
14,athens,2023-01-15,13.4,5.9,10.0,13.4,3.7,9.7,4.9,71.5,0.0,0,0.0,,0.0,0.0,30.9,21.1,333.1,1018.5,47.1,10.0,65.6,5.4,3,10,2023-01-15T07:40:01,2023-01-15T17:29:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
15,athens,2023-01-16,15.0,3.9,9.3,15.0,2.7,9.1,5.0,75.6,0.0,0,0.0,,0.0,0.0,29.7,16.1,233.4,1015.4,32.0,10.0,85.6,7.3,5,10,2023-01-16T07:39:41,2023-01-16T17:30:05,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
16,athens,2023-01-17,18.5,10.6,15.7,18.5,10.6,15.7,10.0,69.4,0.09,100,4.17,rain,0.0,0.0,58.3,36.4,195.1,1010.8,52.1,10.0,95.1,8.3,5,10,2023-01-17T07:39:19,2023-01-17T17:31:08,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
17,athens,2023-01-18,19.7,15.8,16.9,19.7,15.8,16.9,11.1,68.6,0.0,0,0.0,rain,0.0,0.0,72.0,40.4,175.3,1012.2,37.7,10.1,104.6,9.2,5,10,2023-01-18T07:38:54,2023-01-18T17:32:12,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
18,athens,2023-01-19,19.4,15.1,16.6,19.4,15.1,16.6,11.0,69.7,0.0,0,0.0,,0.0,0.0,66.2,35.2,166.4,1014.3,38.2,10.2,105.5,9.1,5,10,2023-01-19T07:38:28,2023-01-19T17:33:17,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
19,athens,2023-01-20,18.4,9.1,13.3,18.4,8.8,13.2,6.9,66.4,7.386,100,12.5,rain,0.0,0.0,61.6,33.9,196.9,1010.4,50.3,9.8,80.7,6.9,6,10,2023-01-20T07:38:00,2023-01-20T17:34:22,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,E0407,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
20,athens,2023-01-21,16.6,6.8,12.9,16.6,6.8,12.9,7.8,71.8,0.603,100,4.17,rain,0.0,0.0,58.3,29.9,182.1,1013.2,56.0,10.0,77.5,6.7,4,10,2023-01-21T07:37:29,2023-01-21T17:35:28,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LGEL,16716199999,E4115,F6908,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
21,athens,2023-01-22,17.0,8.5,13.1,17.0,8.5,13.1,9.1,77.8,2.197,100,8.33,rain,0.0,0.0,36.7,20.9,170.6,1018.3,55.5,10.0,113.0,9.7,5,10,2023-01-22T07:36:57,2023-01-22T17:36:34,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
22,athens,2023-01-23,18.0,9.2,13.0,18.0,9.2,13.0,8.4,75.2,1.038,100,8.33,rain,0.0,0.0,33.5,16.3,161.7,1021.7,47.4,10.0,103.3,8.9,6,10,2023-01-23T07:36:23,2023-01-23T17:37:40,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
23,athens,2023-01-24,17.0,7.9,12.4,17.0,7.9,12.4,8.8,79.7,2.48,100,8.33,rain,0.0,0.0,34.5,15.3,38.1,1024.1,42.6,9.9,95.1,8.3,5,10,2023-01-24T07:35:47,2023-01-24T17:38:47,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
