name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
athens,2016-01-01,6.4,-1,2.2,4.5,-4.8,-0.4,-4.5,63.1,0.022,100,4.17,"rain,snow",0,0,23.3,18.7,1.8,1028,42.1,10.5,125.6,10.9,5,,2016-01-01T07:41:03,2016-01-01T17:15:45,0.72,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-02,10.3,-0.7,5.3,10.3,-2.3,5,0.7,72.8,0.191,100,8.33,rain,0,0,16.9,8.8,353.5,1023.9,71.4,10.2,44.9,4,2,,2016-01-02T07:41:12,2016-01-02T17:16:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-03,14,2,9.3,14,2,9.3,6.8,84.2,3.055,100,8.33,rain,0,0,41.7,24.4,210,1014.9,75.1,9.3,49.4,4.3,3,,2016-01-03T07:41:19,2016-01-03T17:17:22,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-04,17,8.4,12.5,17,6.4,12.3,7.5,72.5,0,0,0,,0,0,23.6,18.6,249.3,1006.3,60,10,105.4,9.2,5,,2016-01-04T07:41:24,2016-01-04T17:18:12,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-05,20.3,12.9,16.1,20.3,12.9,16.1,11.8,75.9,0,0,0,,0,0,25.8,18.7,215.2,1003.8,54.4,10.2,76.5,6.7,4,,2016-01-05T07:41:27,2016-01-05T17:19:04,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-06,19.3,12.4,15.4,19.3,12.4,15.4,12.3,82.3,0,0,0,,0,0,41.7,33.7,195.6,1006,53.3,10.1,103.2,9,5,,2016-01-06T07:41:28,2016-01-06T17:19:57,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-07,18,12.1,14.3,18,12.1,14.3,5.7,58,6.256,100,4.17,rain,0,0,59.4,36.6,260.4,997.9,62.2,10.1,90.2,7.8,4,,2016-01-07T07:41:27,2016-01-07T17:20:52,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-08,17.3,7.3,11.6,17.3,6.2,11.4,1.2,51.3,0,0,0,,0,0,48,22.3,296.7,1010.4,26.5,10,129.1,11,5,,2016-01-08T07:41:24,2016-01-08T17:21:47,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-09,17.1,5,10.9,17.1,4,10.7,7.3,79.4,0,0,0,,0,0,16.4,16.3,209.5,1017.6,30.4,10,115.3,10,5,,2016-01-09T07:41:19,2016-01-09T17:22:44,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-10,14,9.7,11.9,14,9.7,11.9,10.2,89.7,2.002,100,8.33,rain,0,0,10.5,12,213.2,1015.4,66,9.5,54.2,4.7,3,,2016-01-10T07:41:12,2016-01-10T17:23:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
athens,2016-01-11,19.4,10.4,14.3,19.4,10.4,14.3,9.9,76,0,0,0,,0,0,18.4,14.8,218.1,1015.6,38.5,10,131.4,11.2,5,,2016-01-11T07:41:02,2016-01-11T17:24:39,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,LGAV,16741099999,16718099999,16716099999,16715099999"
