name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
athens,2018-01-01,17,2.5,9.4,17,1.2,9.1,2.9,66.2,0,0,0,,0,0,21.6,9.8,223.9,1017.9,26.9,10,75.8,6.5,3,,2018-01-01T07:41:07,2018-01-01T17:16:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-02,17.5,8.7,12.5,17.5,7.8,12.4,6.5,68.2,0,0,0,,0,0,32.6,17.5,255.6,1010.1,51.5,10,65.6,5.5,3,,2018-01-02T07:41:16,2018-01-02T17:16:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-03,14,5.9,10.2,14,5.9,10,4.9,71,1.364,100,4.17,rain,0,0,50,23.9,333.3,1008.4,62.2,10,59.5,5.3,3,,2018-01-03T07:41:22,2018-01-03T17:17:47,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-04,11.5,6.7,9.1,11.5,4.5,7.7,4.5,73.7,11.176,100,8.33,rain,0,0,44.4,27,317,1005.3,76.7,9.2,18.8,1.7,1,,2018-01-04T07:41:26,2018-01-04T17:18:38,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-05,14.5,5,9.6,14.5,3.1,8.9,1.4,57.9,0.022,100,4.17,rain,0,0,46.4,21.2,331.3,1013.7,36.1,10,76.6,6.5,3,,2018-01-05T07:41:28,2018-01-05T17:19:31,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-06,15.7,3.4,9.1,15.7,1.6,8.7,5.5,78.9,0,0,0,,0,0,14.1,10.2,294.2,1020.3,15.7,10,63.3,5.4,3,,2018-01-06T07:41:28,2018-01-06T17:20:25,0.64,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-07,17,7.3,11.9,17,6.7,11.7,9.5,85.7,0,0,0,,0,0,18.4,11.1,277.5,1026.2,52.6,9.9,71.8,6,2,,2018-01-07T07:41:26,2018-01-07T17:21:19,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-08,16.1,10.2,13.1,16.1,10.2,13.1,11.3,88.6,0,0,0,,0,0,14.7,7.2,193.9,1030.2,83.3,9,50.2,4.3,3,,2018-01-08T07:41:22,2018-01-08T17:22:15,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,AU777,16716099999,16699099999,remote,16715099999"
athens,2018-01-09,16.4,8.5,12.5,16.4,7.9,12.4,9.6,83.1,0,0,0,,0,0,29.3,11.3,9.9,1029.4,68.6,8.5,78.6,6.7,3,,2018-01-09T07:41:15,2018-01-09T17:23:12,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-10,13.9,9.4,11.9,13.9,9.4,11.9,8.4,79.7,0,0,0,,0,0,21.5,11.8,6.4,1020.8,71.5,9.4,26.5,2.3,2,,2018-01-10T07:41:07,2018-01-10T17:24:10,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-11,15.2,9.2,11.7,15.2,9.2,11.7,9.7,87.9,29.313,100,12.5,rain,0,0,22.3,6.1,21.1,1011.1,82.1,8.7,30.6,2.5,1,,2018-01-11T07:40:57,2018-01-11T17:25:09,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,LGAV,16741099999,16718099999,AU777,16716099999,16699099999,16715099999"
athens,2018-01-12,15,8.5,11.8,15,8.5,11.8,9.1,84.6,1.161,100,4.17,rain,0,0,29.3,9.4,63.9,1015.1,63,9.3,89.4,7.6,5,,2018-01-12T07:40:44,2018-01-12T17:26:09,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-13,13.4,8.5,10.7,13.4,7.4,10.3,8.2,85.5,15.865,100,16.67,rain,0,0,37.1,20,10.4,1012.2,86.9,9.2,70.7,6,6,,2018-01-13T07:40:29,2018-01-13T17:27:10,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-14,10,6.5,8.4,7.1,4,5.8,4,74,1.819,100,12.5,rain,0,0,55.4,29.2,1,1021.8,73.9,9.9,100,8.5,4,,2018-01-14T07:40:13,2018-01-14T17:28:11,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-15,11.5,4.9,8.6,11.5,4.8,8.5,4.4,75.4,0,0,0,,0,0,15.9,9.4,256.7,1026.8,75.4,10,88.7,7.4,1,,2018-01-15T07:39:54,2018-01-15T17:29:14,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,AU777,16716099999,16699099999,16715099999"
athens,2018-01-16,16,8.6,11.9,16,7.8,11.8,7.5,75.8,0,0,0,,0,0,20.2,19.9,236.4,1018.9,56.8,10,70.2,6,3,,2018-01-16T07:39:33,2018-01-16T17:30:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-17,16.5,8.5,12.5,16.5,6.9,12.4,7.5,71.9,0,0,0,,0,0,44.6,19.6,225.3,1007.7,37.3,10,61.2,5.2,3,,2018-01-17T07:39:11,2018-01-17T17:31:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-18,15.5,7.5,10.8,15.5,3.9,9.6,-2.3,41.5,0.726,100,8.33,rain,0,0,80.2,50.1,298.8,1006.9,44.2,10.1,96.5,8.2,3,,2018-01-18T07:38:46,2018-01-18T17:32:24,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-19,15,5.3,9.7,15,3.4,9.5,-1.8,45.9,0,0,0,,0,0,37.1,21.3,250.3,1016.7,19.1,10,109.8,9.3,5,,2018-01-19T07:38:19,2018-01-19T17:33:29,0.08,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
athens,2018-01-20,16.3,8.9,12.3,16.3,8.4,12.1,8,75.5,0,0,0,,0,0,29.2,16,214.5,1014.4,42.7,10,79,6.9,4,,2018-01-20T07:37:51,2018-01-20T17:34:34,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-21,16.5,10.9,13.3,16.5,10.9,13.3,9.2,76.8,0.121,100,4.17,rain,0,0,30.6,22,187.5,1008,67,9.9,58,5,2,,2018-01-21T07:37:20,2018-01-21T17:35:40,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-22,10.5,8,9.6,10.5,5.6,8,3.3,66.5,1.599,100,16.67,rain,0,0,52,29.3,335,1002.7,65.2,9.9,59,4.8,1,,2018-01-22T07:36:47,2018-01-22T17:36:46,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LGEL,16716199999,LGAV,16741099999,16718099999,AU777,16716099999,16699099999,16715099999"
athens,2018-01-23,9.7,6.2,7.8,7.2,3.1,5.2,1.4,64.2,0.199,100,4.17,rain,0,0,44.6,24.3,351.1,1017.3,57.5,10,125.5,10.6,6,,2018-01-23T07:36:13,2018-01-23T17:37:52,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,AU777,16716099999,16699099999,16715099999"
athens,2018-01-24,7.4,4.7,6.4,3.3,0.4,2.4,-1.6,57.1,0.914,100,4.17,rain,0,0,61.2,34.3,13.1,1026.1,73.8,9.9,101,8.4,3,,2018-01-24T07:35:37,2018-01-24T17:38:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-25,8.5,4.4,5.9,4.4,0.2,2.1,-3.3,51.6,0,0,0,,0,0,55.4,33.4,357.4,1027.9,61,10,72.1,6.4,3,,2018-01-25T07:34:58,2018-01-25T17:40:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-26,10,4.4,6.7,7.2,0.9,3.7,-1,58.7,0,0,0,,0,0,38.4,29.3,356.5,1025.7,34,10.3,80.8,7.1,3,,2018-01-26T07:34:18,2018-01-26T17:41:13,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-27,11,5.3,7.8,11,2.4,6,2,66.9,0,0,0,,0,0,35.3,26.7,0,1029.4,32.4,10,82,6.9,3,,2018-01-27T07:33:36,2018-01-27T17:42:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-28,13.9,5.8,9.4,13.9,2.8,8.1,3.9,68.9,0,0,0,,0,0,22.2,24.4,357.1,1031,25.6,10,86,7.4,3,,2018-01-28T07:32:53,2018-01-28T17:43:28,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-29,15,3.3,8.5,15,2.4,8.3,3.6,72.7,0,0,0,,0,0,14.9,11.6,346,1029.2,13.4,10,81.3,7,3,,2018-01-29T07:32:07,2018-01-29T17:44:36,0.43,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-30,17.5,2.8,9.5,17.5,2.8,9.5,4.8,74.7,0,0,0,,0,0,21.1,10.4,338,1024.5,0,10,86.3,7.4,3,,2018-01-30T07:31:20,2018-01-30T17:45:44,0.46,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-01-31,16.5,4,9.9,16.5,4,9.9,5.3,74.7,0,0,0,,0,0,16.4,8.9,21.4,1023.7,0.9,9.9,85,7.4,3,,2018-01-31T07:30:32,2018-01-31T17:46:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-02-01,16,4.5,9.9,16,3.3,9.9,6.7,81.6,0,0,0,,0,0,20.5,16.5,207.1,1020.2,30,8.8,78.7,6.6,4,,2018-02-01T07:29:41,2018-02-01T17:47:59,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-02-02,14.6,8.5,12,14.6,8.5,12,8.9,81.4,0,0,0,,0,0,57.6,26.3,202.6,1020.1,50,9.9,19.5,1.6,1,,2018-02-02T07:28:49,2018-02-02T17:49:07,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
athens,2018-02-03,16.6,11,14,16.6,11,14,10.1,77.7,1.604,100,4.17,rain,0,0,45.7,29.8,180.3,1017.3,65.7,10,43.2,3.7,3,,2018-02-03T07:27:55,2018-02-03T17:50:15,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,AU777,16699099999,16715099999"
